show_id,type,title,director,cast,country,date_added,release_year,rating,duration,genres,user_rating,views_millions,budget_usd,is_original
s56,movie ,Synthetic Title 56,Martin Scorsese,"Morgan Freeman, Tom Hanks",France,43000,2007,TV-MA,129mins,Action & Adventure,4.9,143.85,9394000,FALSE
s57,movie ,Synthetic Title 57,,"Leonardo DiCaprio, Brad Pitt, Morgan Freeman",Japan,43984,2013,TV-PG,83mins,Documentaries,6.1,109.75,75999000,TRUE
s58,TV Show,Synthetic Title 58,Steven Spielberg,"Scarlett Johansson, Zendaya",Japan,43460,1995,TV-PG,8 S,"International TV Shows, TV Dramas",2.7,13.8,63972000,FALSE
s59,movie ,Synthetic Title 59,Bong Joon Ho,"Leonardo DiCaprio, Zendaya",Japan,42401,1992,TV-PG,99 m,"International TV Shows, TV Dramas",2.1,47.47,77317000,TRUE
s60,tv show,Synthetic Title 60,,"Zendaya, Morgan Freeman, Viola Davis",Japan,42519,2009,TV-14,4 S,"Horror Movies, Thrillers",7.3,47.64,56287000,FALSE
s61,Movie,Synthetic Title 61,Bong Joon Ho,"Viola Davis, Brad Pitt",France,43918,1992,TV-MA,170 m,Crime TV Shows,2.8,49.89,58693000,FALSE
s62,TV Show,Synthetic Title 62,Greta Gerwig,"Tom Hanks, Viola Davis",United States,42364,2023,PG-13,3 S,Comedies,5.9,54.68,86958000,TRUE
s63,MOVIE,Synthetic Title 63,Greta Gerwig,Brad Pitt,Japan,44778,2009,TV-14,85 m,"International TV Shows, TV Dramas",9.9,59.96,96177000,TRUE
s64,movie ,Synthetic Title 64,Christopher Nolan,"Tom Hanks, Leonardo DiCaprio","United States, Canada","March 04, 2016",2019,TV-14,102 m,Action & Adventure,6.1,106.54,22389000,TRUE
s65,TV Show,Synthetic Title 65,,"Tom Hanks, Zendaya, Scarlett Johansson",Canada,45087,1999,NR,6 S,"Horror Movies, Thrillers",3.2,49.21,78172000,FALSE
s66,movie ,Synthetic Title 66,Steven Spielberg,"Brad Pitt, Leonardo DiCaprio",United States,"January 17, 2017",2010,R,122mins,Action & Adventure,9.1,68.38,56491000,TRUE
s67,MOVIE,Synthetic Title 67,Ava DuVernay,Scarlett Johansson,United Kingdom,43766,2000,TV-PG,126 m,Comedies,6.3,34.06,87333000,TRUE
s68,TV Show,Synthetic Title 68,Ava DuVernay,"Morgan Freeman, Tom Hanks, Brad Pitt",United Kingdom,44994,2008,TV-MA,5 S,Crime TV Shows,6.2,117.02,96956000,TRUE
s69,TV Show,Synthetic Title 69,Martin Scorsese,"Viola Davis, Zendaya",Japan,43612,2007,NR,8 Seasons,Action & Adventure,9.6,76.28,88196000,FALSE
s70,movie ,Synthetic Title 70,Martin Scorsese,"Viola Davis, Zendaya, Brad Pitt",South Korea,42518,1992,TV-14,69mins,Action & Adventure,9.5,100.35,5463000,FALSE
s71,tv show,Synthetic Title 71,Steven Spielberg,"Zendaya, Leonardo DiCaprio, Brad Pitt",Canada,"April 06, 2019",2003,R,4 Seasons,Documentaries,2.6,50.18,32611000,TRUE
s72,Movie,Synthetic Title 72,Greta Gerwig,Leonardo DiCaprio,Canada,44833,2018,NR,62 m,Comedies,6.7,126.89,24356000,TRUE
s73,movie ,Synthetic Title 73,Christopher Nolan,"Scarlett Johansson, Brad Pitt, Morgan Freeman",India,"October 09, 2023",2008,TV-14,162 min,Comedies,8.6,103.9,39226000,TRUE
s74,tv show,Synthetic Title 74,Greta Gerwig,,United Kingdom,42831,1994,R,2 Seasons,Documentaries,3.4,80.24,73570000,TRUE
s75,TV Show,Synthetic Title 75,Martin Scorsese,"Scarlett Johansson, Tom Hanks",Japan,45008,2016,TV-PG,3 S,"Horror Movies, Thrillers",3.7,143.83,79836000,FALSE
s76,MOVIE,Synthetic Title 76,Greta Gerwig,"Zendaya, Leonardo DiCaprio, Brad Pitt",United States,45110,1991,TV-PG,72 m,"International TV Shows, TV Dramas",8.8,125.8,86160000,FALSE
s77,MOVIE,Synthetic Title 77,Ava DuVernay,"Zendaya, Leonardo DiCaprio, Viola Davis",India,42428,2009,PG-13,160mins,"International TV Shows, TV Dramas",3.9,13.03,7898000,TRUE
s78,movie ,Synthetic Title 78,Martin Scorsese,"Leonardo DiCaprio, Viola Davis, Morgan Freeman",United Kingdom,44246,1992,PG-13,132 m,Documentaries,1.2,115.43,4781000,TRUE
s79,Movie,Synthetic Title 79,Steven Spielberg,"Scarlett Johansson, Viola Davis, Leonardo DiCaprio","United States, Canada","May 24, 2021",1992,R,113mins,Action & Adventure,1.1,14.07,20372000,FALSE
s80,movie ,Synthetic Title 80,Ava DuVernay,"Morgan Freeman, Leonardo DiCaprio, Zendaya",South Korea,42397,2005,TV-MA,134mins,Action & Adventure,9.8,82.36,73393000,FALSE
s81,TV Show,Synthetic Title 81,Christopher Nolan,"Leonardo DiCaprio, Viola Davis, Tom Hanks",Japan,43710,1990,NR,5 Seasons,Action & Adventure,1.1,94.22,92119000,FALSE
s82,tv show,Synthetic Title 82,,"Viola Davis, Zendaya, Tom Hanks","United States, Canada",42020,2002,TV-MA,7 Seasons,"International TV Shows, TV Dramas",1.6,83.73,52641000,FALSE
s83,MOVIE,Synthetic Title 83,Martin Scorsese,"Scarlett Johansson, Morgan Freeman",South Korea,"October 02, 2023",2009,TV-PG,145 m,"International TV Shows, TV Dramas",8.9,43.11,64570000,TRUE
s84,MOVIE,Synthetic Title 84,Greta Gerwig,"Scarlett Johansson, Leonardo DiCaprio","United States, Canada",43626,2003,TV-PG,97 m,Crime TV Shows,8.1,26.78,93405000,FALSE
s85,TV Show,Synthetic Title 85,Greta Gerwig,Scarlett Johansson,South Korea,"November 16, 2023",2023,TV-MA,4 Seasons,Documentaries,4,129.5,57668000,FALSE
s86,MOVIE,Synthetic Title 86,Martin Scorsese,Zendaya,"United States, Canada","November 24, 2016",1992,TV-PG,84mins,"International TV Shows, TV Dramas",9,102.29,28486000,TRUE
s87,MOVIE,Synthetic Title 87,Christopher Nolan,Morgan Freeman,France,"October 28, 2023",2007,TV-14,114mins,"International TV Shows, TV Dramas",7.1,85.39,32185000,FALSE
s88,MOVIE,Synthetic Title 88,,"Brad Pitt, Morgan Freeman, Tom Hanks",United Kingdom,"September 02, 2017",2002,TV-MA,164mins,"Horror Movies, Thrillers",8.9,109.68,59588000,FALSE
s89,TV Show,Synthetic Title 89,Steven Spielberg,Scarlett Johansson,India,"September 25, 2019",1993,TV-14,8 S,"Horror Movies, Thrillers",3.2,51.86,71970000,FALSE
s90,TV Show,Synthetic Title 90,Christopher Nolan,"Zendaya, Scarlett Johansson",United Kingdom,44648,2011,TV-14,10 Seasons,"International TV Shows, TV Dramas",3.4,9.03,86236000,TRUE
s91,TV Show,Synthetic Title 91,Steven Spielberg,Brad Pitt,France,44005,2020,TV-PG,3 Seasons,Documentaries,5.9,43.75,21108000,TRUE
s92,movie ,Synthetic Title 92,,Brad Pitt,"United States, Canada",44176,2013,NR,100 m,Comedies,9.8,127.19,46876000,FALSE
s93,TV Show,Synthetic Title 93,Christopher Nolan,"Viola Davis, Morgan Freeman",France,42528,1993,TV-PG,4 Seasons,Comedies,9.5,56.18,97273000,FALSE
s94,MOVIE,Synthetic Title 94,Bong Joon Ho,"Viola Davis, Zendaya",Canada,43814,1990,PG-13,113 min,Crime TV Shows,7.5,62.43,43365000,FALSE
s95,TV Show,Synthetic Title 95,,"Morgan Freeman, Tom Hanks, Leonardo DiCaprio",Canada,"June 11, 2018",1994,TV-PG,6 S,Crime TV Shows,5.8,116.79,12742000,TRUE
s96,TV Show,Synthetic Title 96,Ava DuVernay,"Leonardo DiCaprio, Scarlett Johansson, Brad Pitt",France,"December 07, 2017",2002,R,7 Seasons,"Horror Movies, Thrillers",3.3,27.36,85986000,FALSE
s97,Movie,Synthetic Title 97,Bong Joon Ho,"Scarlett Johansson, Leonardo DiCaprio",United States,44154,2006,TV-14,64mins,Action & Adventure,8.8,32.5,48749000,FALSE
s98,MOVIE,Synthetic Title 98,Ava DuVernay,Morgan Freeman,South Korea,"November 20, 2017",2002,TV-MA,122 m,"International TV Shows, TV Dramas",1.2,100.85,41898000,TRUE
s99,TV Show,Synthetic Title 99,Martin Scorsese,Morgan Freeman,Japan,43384,2014,PG-13,9 Seasons,Documentaries,1.5,130.98,81141000,FALSE
s100,movie ,Synthetic Title 100,Bong Joon Ho,Scarlett Johansson,South Korea,"August 25, 2017",2001,TV-14,169mins,"International TV Shows, TV Dramas",6.3,118.94,53981000,TRUE
s101,Movie,Synthetic Title 101,Steven Spielberg,"Viola Davis, Leonardo DiCaprio, Brad Pitt",South Korea,"September 27, 2016",2023,R,142 m,Documentaries,2.7,130.72,49469000,TRUE
s102,TV Show,Synthetic Title 102,Greta Gerwig,,India,44125,2011,NR,2 Seasons,Documentaries,6.5,67.61,16999000,FALSE
s103,tv show,Synthetic Title 103,,,United States,45186,2011,TV-MA,3 S,Crime TV Shows,7.9,70.84,43949000,FALSE
s104,TV Show,Synthetic Title 104,Ava DuVernay,"Zendaya, Tom Hanks, Leonardo DiCaprio",France,43577,1992,TV-14,10 S,"International TV Shows, TV Dramas",2.2,73.11,43946000,FALSE
s105,Movie,Synthetic Title 105,Steven Spielberg,"Viola Davis, Morgan Freeman, Brad Pitt",India,44906,1990,TV-14,131 min,Documentaries,7.9,63.94,74217000,FALSE
s106,TV Show,Synthetic Title 106,Ava DuVernay,"Leonardo DiCaprio, Brad Pitt, Morgan Freeman",United Kingdom,"October 16, 2021",2018,TV-MA,7 S,"Horror Movies, Thrillers",1.4,105.46,42944000,TRUE
s107,TV Show,Synthetic Title 107,Martin Scorsese,Tom Hanks,Japan,"July 10, 2016",1997,PG-13,5 Seasons,Crime TV Shows,5.4,96.97,51230000,TRUE
s108,MOVIE,Synthetic Title 108,Martin Scorsese,,South Korea,43872,1990,PG-13,155 m,Crime TV Shows,7.1,47.45,47852000,FALSE
s109,tv show,Synthetic Title 109,Bong Joon Ho,Viola Davis,South Korea,43520,2019,TV-MA,3 Seasons,"Horror Movies, Thrillers",3.1,33.83,59618000,TRUE
s110,MOVIE,Synthetic Title 110,Ava DuVernay,Morgan Freeman,"United States, Canada","February 11, 2022",2023,TV-14,85 m,Documentaries,2.6,76.15,8118000,TRUE
s111,MOVIE,Synthetic Title 111,Christopher Nolan,,"United States, Canada",43939,2009,NR,139 min,Comedies,6.6,9.69,62835000,FALSE
s112,movie ,Synthetic Title 112,Bong Joon Ho,"Morgan Freeman, Tom Hanks",India,43987,2020,TV-14,119 m,Comedies,3.8,126.24,82858000,FALSE
s113,TV Show,Synthetic Title 113,Ava DuVernay,Zendaya,"United States, Canada",45189,2022,R,5 Seasons,"Horror Movies, Thrillers",9.9,97.17,21787000,FALSE
s114,tv show,Synthetic Title 114,Greta Gerwig,"Tom Hanks, Leonardo DiCaprio",Canada,"April 15, 2019",2013,NR,7 S,Documentaries,1.4,36.49,94732000,TRUE
s115,Movie,Synthetic Title 115,Christopher Nolan,"Viola Davis, Morgan Freeman, Brad Pitt","United States, Canada",44573,2003,TV-MA,136 min,Documentaries,9.6,101.15,83877000,TRUE
s116,movie ,Synthetic Title 116,,"Zendaya, Morgan Freeman, Viola Davis",India,42963,1991,TV-14,97mins,Action & Adventure,3.1,135.76,6124000,FALSE
s117,tv show,Synthetic Title 117,Martin Scorsese,"Zendaya, Viola Davis",Japan,45121,2017,NR,10 S,Action & Adventure,3.7,10.55,4936000,FALSE
s118,tv show,Synthetic Title 118,Ava DuVernay,"Brad Pitt, Morgan Freeman",United States,"January 28, 2021",2010,TV-MA,1 S,Crime TV Shows,2.9,33.52,39221000,FALSE
s119,Movie,Synthetic Title 119,Ava DuVernay,"Brad Pitt, Leonardo DiCaprio","United States, Canada","August 03, 2019",1990,TV-MA,99 m,"Horror Movies, Thrillers",9.2,96.17,75558000,TRUE
s120,Movie,Synthetic Title 120,Greta Gerwig,Leonardo DiCaprio,France,"October 19, 2020",2012,TV-14,63 m,"Horror Movies, Thrillers",9.3,22.66,60319000,FALSE
s121,Movie,Synthetic Title 121,Bong Joon Ho,"Brad Pitt, Scarlett Johansson",United Kingdom,42558,1991,TV-MA,142 m,Crime TV Shows,1.5,130.37,6713000,TRUE
s122,movie ,Synthetic Title 122,Christopher Nolan,"Scarlett Johansson, Tom Hanks, Leonardo DiCaprio",Japan,43374,1997,NR,129mins,"Horror Movies, Thrillers",6.6,77.13,3326000,TRUE
s123,Movie,Synthetic Title 123,Ava DuVernay,"Brad Pitt, Scarlett Johansson",France,44437,2011,PG-13,161 min,Crime TV Shows,8.2,2.43,88446000,TRUE
s124,Movie,Synthetic Title 124,Martin Scorsese,"Viola Davis, Leonardo DiCaprio, Brad Pitt","United States, Canada","January 12, 2022",2012,NR,175 min,"International TV Shows, TV Dramas",4.4,24.05,30909000,TRUE
s125,Movie,Synthetic Title 125,Steven Spielberg,"Viola Davis, Leonardo DiCaprio",France,"October 15, 2019",2019,PG-13,117 m,"Horror Movies, Thrillers",2.2,17.89,31512000,TRUE
s126,tv show,Synthetic Title 126,Greta Gerwig,"Tom Hanks, Leonardo DiCaprio, Brad Pitt","United States, Canada","April 04, 2022",1999,TV-PG,8 Seasons,Comedies,1.6,87.39,69970000,FALSE
s127,TV Show,Synthetic Title 127,Christopher Nolan,Scarlett Johansson,United States,"March 15, 2022",1993,TV-14,4 S,Documentaries,5,50.83,100445000,FALSE
s128,TV Show,Synthetic Title 128,,"Viola Davis, Tom Hanks","United States, Canada",42425,2001,TV-MA,2 S,Action & Adventure,7.6,126.07,31778000,TRUE
s129,TV Show,Synthetic Title 129,Christopher Nolan,,France,43038,2007,TV-14,4 S,Documentaries,8.8,86.05,48406000,FALSE
s130,Movie,Synthetic Title 130,Martin Scorsese,"Tom Hanks, Morgan Freeman",Canada,42925,2004,PG-13,146 m,"International TV Shows, TV Dramas",5,3.7,71319000,FALSE
s131,TV Show,Synthetic Title 131,,,France,"March 21, 2017",2000,TV-MA,4 Seasons,Documentaries,5.3,95.32,72870000,FALSE
s132,movie ,Synthetic Title 132,Steven Spielberg,Morgan Freeman,United Kingdom,"September 08, 2018",2021,TV-14,123 m,Documentaries,7.9,75.47,89799000,TRUE
s133,tv show,Synthetic Title 133,Steven Spielberg,"Tom Hanks, Brad Pitt",South Korea,44992,2014,NR,4 Seasons,Action & Adventure,5.1,138.6,67572000,TRUE
s134,tv show,Synthetic Title 134,Christopher Nolan,"Viola Davis, Morgan Freeman, Tom Hanks",United Kingdom,"December 04, 2021",1992,NR,8 Seasons,Action & Adventure,4.4,42.27,58598000,FALSE
s135,movie ,Synthetic Title 135,Martin Scorsese,Zendaya,India,42308,2004,TV-MA,176 min,"Horror Movies, Thrillers",8.3,55.61,97725000,TRUE
s136,TV Show,Synthetic Title 136,,"Morgan Freeman, Leonardo DiCaprio, Viola Davis",India,"August 04, 2017",2012,PG-13,2 S,"Horror Movies, Thrillers",4,65.08,30231000,TRUE
s137,Movie,Synthetic Title 137,Ava DuVernay,Leonardo DiCaprio,Japan,44353,2016,R,63mins,"Horror Movies, Thrillers",6.4,66.26,71905000,TRUE
s138,Movie,Synthetic Title 138,Bong Joon Ho,Brad Pitt,India,"April 30, 2021",2021,TV-PG,141mins,Action & Adventure,4.1,147.39,52924000,FALSE
s139,TV Show,Synthetic Title 139,,"Viola Davis, Zendaya",France,44095,2008,NR,2 S,"International TV Shows, TV Dramas",3.4,66.63,2438000,TRUE
s140,tv show,Synthetic Title 140,Steven Spielberg,"Brad Pitt, Tom Hanks","United States, Canada","April 08, 2017",2008,TV-14,7 Seasons,"Horror Movies, Thrillers",9.1,130.38,62901000,FALSE
s141,tv show,Synthetic Title 141,Steven Spielberg,Morgan Freeman,"United States, Canada",43606,1998,NR,10 S,"International TV Shows, TV Dramas",9.9,15.65,23427000,FALSE
s142,MOVIE,Synthetic Title 142,,"Morgan Freeman, Tom Hanks, Viola Davis","United States, Canada",42162,1991,PG-13,109 m,Crime TV Shows,2.5,37.31,26918000,FALSE
s143,Movie,Synthetic Title 143,Steven Spielberg,"Brad Pitt, Scarlett Johansson",France,42441,1992,NR,89mins,Action & Adventure,4.3,99.44,93658000,TRUE
s144,MOVIE,Synthetic Title 144,Steven Spielberg,"Viola Davis, Morgan Freeman, Tom Hanks",South Korea,43752,2010,NR,152 m,Crime TV Shows,9.5,63.51,59109000,TRUE
s145,TV Show,Synthetic Title 145,,"Leonardo DiCaprio, Viola Davis",United Kingdom,44591,2003,TV-PG,6 Seasons,Comedies,8.3,111,49309000,FALSE
s146,Movie,Synthetic Title 146,Christopher Nolan,"Morgan Freeman, Viola Davis",United States,43802,2023,R,94 min,Comedies,8.3,32.66,52831000,FALSE
s147,movie ,Synthetic Title 147,Martin Scorsese,"Leonardo DiCaprio, Viola Davis, Tom Hanks",Japan,42589,2020,PG-13,103 m,Action & Adventure,1.6,42.94,99590000,TRUE
s148,tv show,Synthetic Title 148,Christopher Nolan,"Brad Pitt, Scarlett Johansson, Viola Davis",United Kingdom,"April 13, 2018",2006,TV-14,8 Seasons,Documentaries,5.2,123.17,33927000,FALSE
s149,tv show,Synthetic Title 149,Christopher Nolan,"Zendaya, Leonardo DiCaprio, Tom Hanks",United Kingdom,44872,1999,TV-MA,2 S,Comedies,5.5,149.69,50605000,FALSE
s150,MOVIE,Synthetic Title 150,Bong Joon Ho,Zendaya,United Kingdom,"June 20, 2016",2010,NR,114 m,Crime TV Shows,4.5,10.44,59684000,FALSE
s151,tv show,Synthetic Title 151,,"Zendaya, Morgan Freeman",India,"July 15, 2015",2007,NR,8 S,"Horror Movies, Thrillers",6.3,22.71,46794000,FALSE
s152,movie ,Synthetic Title 152,Christopher Nolan,"Tom Hanks, Scarlett Johansson",United Kingdom,43406,2022,PG-13,150 min,"Horror Movies, Thrillers",6.8,122.32,45720000,TRUE
s153,Movie,Synthetic Title 153,Greta Gerwig,Leonardo DiCaprio,United Kingdom,"January 30, 2020",2015,TV-PG,78 min,Comedies,9.1,48.37,67649000,FALSE
